mean_loss,epsilon,learning_rate
0.392672052374,0.9981868,0.0001
0.533300598991,0.9981766,0.0001
0.377188639681,0.99817,0.0001
0.422107360117,0.9981625,0.0001
0.348765085325,0.9981553,0.0001
0.376938127046,0.9981466,0.0001
0.389803230948,0.9981391,0.0001
0.4419844215,0.9981301,0.0001
0.315776660723,0.998113,0.0001
0.401925729623,0.9981055,0.0001
0.358547726893,0.9980842,0.0001
0.176791688646,0.998077,0.0001
0.472458785801,0.9980659,0.0001
0.467542114325,0.9980584,0.0001
0.313287184465,0.9980509,0.0001
0.403020211333,0.9980356,0.0001
0.284877216397,0.9980284,0.0001
0.365209692028,0.9980209,0.0001
0.635023080998,0.998011,0.0001
0.341219324705,0.997972,0.0001
0.383247302934,0.9979555,0.0001
0.520604639303,0.9979477,0.0001
0.255494482604,0.9979405,0.0001
0.48036258802,0.997933,0.0001
0.412492373521,0.9978964,0.0001
0.504313042262,0.9978745,0.0001
0.49263978451,0.9978364,0.0001
0.642247166304,0.9978286,0.0001
0.306654691379,0.9978067,0.0001
0.38206294299,0.997798,0.0001
0.220396118519,0.9977905,0.0001
0.473566763341,0.9977803,0.0001
0.523678136218,0.9977728,0.0001
0.405850902589,0.9977572,0.0001
0.233644896413,0.99775,0.0001
0.33052717284,0.9977407,0.0001
0.46622094498,0.9977341,0.0001
0.41958244143,0.9977248,0.0001
0.304405951855,0.9977182,0.0001
0.28952683918,0.997711,0.0001
0.477789973324,0.9977038,0.0001
0.50816416618,0.9976972,0.0001
0.338714617384,0.9976894,0.0001
0.404147501892,0.9976822,0.0001
0.271776189242,0.9976744,0.0001
0.593742394168,0.9976678,0.0001
0.311052366022,0.9976447,0.0001
0.394527264492,0.9976378,0.0001
0.349837957245,0.9976306,0.0001
0.358720753932,0.9976057,0.0001
0.466811432661,0.9975886,0.0001
0.235106704444,0.9975814,0.0001
0.391805302975,0.9975733,0.0001
0.345987690511,0.9975496,0.0001
0.290302334161,0.9975421,0.0001
0.342497507151,0.9975334,0.0001
0.304087927751,0.9975256,0.0001
0.273889820556,0.997519,0.0001
0.355959089684,0.9975034,0.0001
0.473333225532,0.9974956,0.0001
0.538202267691,0.997489,0.0001
0.41736960265,0.9974797,0.0001
0.442597362236,0.9974581,0.0001
0.296523600486,0.9974422,0.0001
0.498991950979,0.9974344,0.0001
0.395133190561,0.9974251,0.0001
0.574844546517,0.9974149,0.0001
0.473613258095,0.9974077,0.0001
0.420944965455,0.9973999,0.0001
0.468280608102,0.9973843,0.0001
0.407820436557,0.9973774,0.0001
0.449846167006,0.9973615,0.0001
0.49079758859,0.9973522,0.0001
0.464437651343,0.9973423,0.0001
0.483998713673,0.9973348,0.0001
0.459733146293,0.9973057,0.0001
0.575332099853,0.9972973,0.0001
0.537850391198,0.9972886,0.0001
0.458351318778,0.9972667,0.0001
0.367834518741,0.9972475,0.0001
0.541448708153,0.997216,0.0001
0.473646658308,0.9972088,0.0001
0.335498129928,0.9972016,0.0001
0.378774029127,0.9971944,0.0001
0.30098253604,0.9971866,0.0001
0.246283961924,0.9971791,0.0001
0.413384417233,0.9971713,0.0001
0.330954051326,0.9971647,0.0001
0.402493263727,0.9971569,0.0001
0.337541392182,0.9971482,0.0001
0.518915308163,0.9971416,0.0001
0.440057433266,0.9971344,0.0001
0.431194381432,0.9971041,0.0001
0.37591723982,0.997096,0.0001
0.543789943472,0.9970885,0.0001
0.384703135513,0.9970807,0.0001
0.373707621292,0.9970735,0.0001
0.580410287001,0.997057,0.0001
0.402384939249,0.997048,0.0001
0.434311886168,0.9970408,0.0001
0.607571438428,0.9970327,0.0001
0.304538257069,0.9970237,0.0001
0.596265465501,0.9970171,0.0001
0.340644648491,0.9970099,0.0001
0.494726577411,0.9970012,0.0001
0.466647071909,0.996985,0.0001
0.29369333525,0.9969772,0.0001
0.433601014444,0.99697,0.0001
0.312235119109,0.9969625,0.0001
0.587671320811,0.9969529,0.0001
0.371391390527,0.9969448,0.0001
0.223715810132,0.9969367,0.0001
0.455450375509,0.9969076,0.0001
0.372324811587,0.9968851,0.0001
0.349180544153,0.9968779,0.0001
0.471943306318,0.9968707,0.0001
0.501163558804,0.996862,0.0001
0.257605698784,0.9968524,0.0001
0.285581099598,0.9968452,0.0001
0.571973132084,0.9968371,0.0001
0.428584812808,0.9968068,0.0001
0.394092065465,0.996800200001,0.0001
0.33593924608,0.996792100001,0.0001
0.216642174872,0.996784000001,0.0001
0.449658036883,0.996775600001,0.0001
0.426757991907,0.996765400001,0.0001
0.306478268852,0.996758200001,0.0001
0.290708513097,0.996750100001,0.0001
0.406273260521,0.996742900001,0.0001
0.369453378453,0.996735100001,0.0001
0.146711677393,0.996727600001,0.0001
0.230959087238,0.996721000001,0.0001
0.538405387355,0.996713500001,0.0001
0.357044401133,0.996697600001,0.0001
0.402010459292,0.996689800001,0.0001
0.357808268943,0.996681400001,0.0001
0.46565783861,0.996674800001,0.0001
0.357063013809,0.996667300001,0.0001
0.328559028227,0.996645700001,0.0001
0.534444291673,0.996638500001,0.0001
0.341788717051,0.996631900001,0.0001
0.434720247047,0.996624100001,0.0001
0.431645030975,0.996616600001,0.0001
0.392434216425,0.996609400001,0.0001
0.487095888977,0.996599200001,0.0001
0.527633529543,0.996578200001,0.0001
0.489876528387,0.996570400001,0.0001
0.348884042035,0.996563200001,0.0001
0.5004781178,0.996556600001,0.0001
0.272426051086,0.996549400001,0.0001
0.544570290526,0.996528700001,0.0001
0.440581711419,0.996512800001,0.0001
0.216328167083,0.996504700001,0.0001
0.441364676447,0.996497200001,0.0001
0.285008166525,0.996488800001,0.0001
0.372486252512,0.996466300001,0.0001
0.413344917797,0.996429700001,0.0001
0.507510922821,0.996407200001,0.0001
0.426232190106,0.996384400001,0.0001
0.508247419526,0.996376900001,0.0001
0.337761891276,0.996368500001,0.0001
0.203222978249,0.996361900001,0.0001
0.315911808323,0.996339100001,0.0001
0.292153009718,0.996331900001,0.0001
0.598198776415,0.996324100001,0.0001
0.311130792371,0.996316300001,0.0001
0.385539572739,0.996307900001,0.0001
0.398410887857,0.996300400001,0.0001
0.296533293305,0.996289900001,0.0001
0.383634724085,0.996282700001,0.0001
0.679478811712,0.996274600001,0.0001
0.60431137104,0.996266800001,0.0001
0.314100955044,0.996259300001,0.0001
0.30712155458,0.996251800001,0.0001
0.479464360868,0.996242800001,0.0001
0.563027456177,0.996234400001,0.0001
0.403831806199,0.996227200001,0.0001
0.378544543202,0.996175900001,0.0001
0.442522196857,0.996167800001,0.0001
